Database S1.1,,,,,,,,,
Known perovskites,,,,,,,,,
Compound,Source (ICSD ID or reference),A,,B,,B’,,X,
HoGaO3,420711,Ho,3,Ga,3,Ga,3,O,-2
HoNiO3,191793,Ho,3,Ni,3,Ni,3,O,-2
HoScO3,99546,Ho,3,Sc,3,Sc,3,O,-2
HoScS3,639667,Ho,3,Sc,3,Sc,3,S,-2
HoVO3,10018,Ho,3,V,3,V,3,O,-2
InRhO3,237351,In,3,Rh,3,Rh,3,O,-2
KBiO3,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,Bi,5,Bi,5,O,-2
KCaCl3,"Acta Cryst B 64, 702-707 (2008)",K,1,Ca,2,Ca,2,Cl,-1
KCaF3,154073,K,1,Ca,2,Ca,2,F,-1
KCdCl3,"Acta Cryst B 64, 702-707 (2008)",K,1,Cd,2,Cd,2,Cl,-1
KCdF3,44788,K,1,Cd,2,Cd,2,F,-1
KCoF3,15246,K,1,Co,2,Co,2,F,-1
KCrF3,27690,K,1,Cr,2,Cr,2,F,-1
KCuF3,27689,K,1,Cu,2,Cu,2,F,-1
KFeCl3,"Acta Cryst B 64, 702-707 (2008)",K,1,Fe,2,Fe,2,Cl,-1
KFeF3,15424,K,1,Fe,2,Fe,2,F,-1
KHgF3,15170,K,1,Hg,2,Hg,2,F,-1
KIO3,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,I,5,I,5,O,-2
KMgF3,28949,K,1,Mg,2,Mg,2,F,-1
KMnCl3,32710,K,1,Mn,2,Mn,2,Cl,-1
KMnF3,75412,K,1,Mn,2,Mn,2,F,-1
KNiF3,15426,K,1,Ni,2,Ni,2,F,-1
KTaO3,39673,K,1,Ta,5,Ta,5,O,-2
KUO3,71241,K,1,U,5,U,5,O,-2
KVF3,28145,K,1,V,2,V,2,F,-1
KZnF3,15427,K,1,Zn,2,Zn,2,F,-1
LaAlO3,180175,La,3,Al,3,Al,3,O,-2
LaCoO3,164459,La,3,Co,3,Co,3,O,-2
LaCrO3,165054,La,3,Cr,3,Cr,3,O,-2
LaCuO3,9428,La,3,Cu,3,Cu,3,O,-2
LaErO3,16237,La,3,Er,3,Er,3,O,-2
LaFeO3,164083,La,3,Fe,3,Fe,3,O,-2
LaGaO3,153307,La,3,Ga,3,Ga,3,O,-2
LaHoO3,189420,La,3,Ho,3,Ho,3,O,-2
LaInO3,281549,La,3,In,3,In,3,O,-2
LaLuO3,51449,La,3,Lu,3,Lu,3,O,-2
LaLuS3,641392,La,3,Lu,3,Lu,3,S,-2
LaMnO3,185279,La,3,Mn,3,Mn,3,O,-2
LaNiO3,67714,La,3,Ni,3,Ni,3,O,-2
LaPdO3,93099,La,3,Pd,3,Pd,3,O,-2
LaRhO3,172347,La,3,Rh,3,Rh,3,O,-2
LaRuO3,75569,La,3,Ru,3,Ru,3,O,-2
LaScO3,99538,La,3,Sc,3,Sc,3,O,-2
LaScS3,641844,La,3,Sc,3,Sc,3,S,-2
LaTiO3,28908,La,3,Ti,3,Ti,3,O,-2
LaTmO3,419665,La,3,Tm,3,Tm,3,O,-2
LaVO3,185831,La,3,V,3,V,3,O,-2
LaYbO3,189421,La,3,Yb,3,Yb,3,O,-2
LaYbS3,641879,La,3,Yb,3,Yb,3,S,-2
LaYO3,419666,La,3,Y,3,Y,3,O,-2
LiBaF3,45310,Ba,2,Li,1,Li,1,F,-1
LiReO3,35012,Li,1,Re,5,Re,5,O,-2
LuAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Lu,3,Al,3,Al,3,O,-2
LuCoO3,172052,Lu,3,Co,3,Co,3,O,-2
LuCrO3,251093,Lu,3,Cr,3,Cr,3,O,-2
LuFeO3,27285,Lu,3,Fe,3,Fe,3,O,-2
LuMnO3,160376,Lu,3,Mn,3,Mn,3,O,-2
LuNiO3,191796,Lu,3,Ni,3,Ni,3,O,-2
LuRhO3,188152,Lu,3,Rh,3,Rh,3,O,-2
LuVO3,185830,Lu,3,V,3,V,3,O,-2
MgCeO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Mg,2,Ce,4,Ce,4,O,-2
MnVO3,185418,Mn,2,V,4,V,4,O,-2
NaCrF3,"Acta Cryst B 64, 702-707 (2008)",Na,1,Cr,2,Cr,2,F,-1
NaMnF3,15621,Na,1,Mn,2,Mn,2,F,-1
NaUO3,15136,Na,1,U,5,U,5,O,-2
NaVF3,60611,Na,1,V,2,V,2,F,-1
NaVO3,"J Alloy and Compounds, 372, 40-48 (2008)",Na,1,V,5,V,5,O,-2
NaWO3,28343,Na,1,W,5,W,5,O,-2
NaZnF3,69349,Na,1,Zn,2,Zn,2,F,-1
NdAlO3,35550,Nd,3,Al,3,Al,3,O,-2
NdCoO3,164821,Nd,3,Co,3,Co,3,O,-2
NdCrO3,28933,Nd,3,Cr,3,Cr,3,O,-2
NdFeO3,27275,Nd,3,Fe,3,Fe,3,O,-2
NdGaO3,79633,Nd,3,Ga,3,Ga,3,O,-2
NdInO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Nd,3,In,3,In,3,O,-2
NdMnO3,15719,Nd,3,Mn,3,Mn,3,O,-2
NdNiO3,416212,Nd,3,Ni,3,Ni,3,O,-2
NdRhO3,172349,Nd,3,Rh,3,Rh,3,O,-2
NdScO3,99540,Nd,3,Sc,3,Sc,3,O,-2
NdScS3,645859,Nd,3,Sc,3,Sc,3,S,-2
NdTiO3,82008,Nd,3,Ti,3,Ti,3,O,-2
NdVO3,185834,Nd,3,V,3,V,3,O,-2
PbCeO3,"J Alloy and Compounds, 372, 40-48 (2008)",Pb,2,Ce,4,Ce,4,O,-2
PbCrO3,160196,Pb,2,Cr,4,Cr,4,O,-2
PbHfO3,33194,Pb,2,Hf,4,Hf,4,O,-2
PbSnO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Pb,2,Sn,4,Sn,4,O,-2
PbVO3,240256,Pb,2,V,4,V,4,O,-2
PbZrO3,31154,Pb,2,Zr,4,Zr,4,O,-2
PrAlO3,35549,Pr,3,Al,3,Al,3,O,-2
PrCoO3,164817,Pr,3,Co,3,Co,3,O,-2
PrCrO3,251097,Pr,3,Cr,3,Cr,3,O,-2
PrFeO3,27274,Pr,3,Fe,3,Fe,3,O,-2
PrGaO3,76049,Pr,3,Ga,3,Ga,3,O,-2
PrInO3,238839,Pr,3,In,3,In,3,O,-2
PrLuO3,50758,Pr,3,Lu,3,Lu,3,O,-2
PrMnO3,15718,Pr,3,Mn,3,Mn,3,O,-2
PrNiO3,246701,Pr,3,Ni,3,Ni,3,O,-2
PrRhO3,172348,Pr,3,Rh,3,Rh,3,O,-2
PrRuO3,75570,Pr,3,Ru,3,Ru,3,O,-2
PrScO3,99539,Pr,3,Sc,3,Sc,3,O,-2
PrScS3,649276,Pr,3,Sc,3,Sc,3,S,-2
PrVO3,28927,Pr,3,V,3,V,3,O,-2
PuAlO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Pu,3,Al,3,Al,3,O,-2
PuCrO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Pu,3,Cr,3,Cr,3,O,-2
PuMnO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Pu,3,Mn,3,Mn,3,O,-2
PuVO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Pu,3,V,3,V,3,O,-2
RbCaCl3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Ca,2,Ca,2,Cl,-1
RbCaF3,201252,Rb,1,Ca,2,Ca,2,F,-1
RbCdBr3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Cd,2,Cd,2,Br,-1
RbCdCl3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Cd,2,Cd,2,Cl,-1
RbCdF3,49587,Rb,1,Cd,2,Cd,2,F,-1
RbCoF3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Co,2,Co,2,F,-1
RbCrCl3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Cr,2,Cr,2,Cl,-1
RbCrF3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Cr,2,Cr,2,F,-1
RbCuF3,109293,Rb,1,Cu,2,Cu,2,F,-1
RbFeF3,49586,Rb,1,Fe,2,Fe,2,F,-1
RbGeBr3,65244,Rb,1,Ge,2,Ge,2,Br,-1
RbGeI3,40216,Rb,1,Ge,2,Ge,2,I,-1
RbHgF3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Hg,2,Hg,2,F,-1
RbIO3,"J Alloy and Compounds, 372, 40-48 (2008)",Rb,1,I,5,I,5,O,-2
RbMgF3,49585,Rb,1,Mg,2,Mg,2,F,-1
RbMnCl3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Mn,2,Mn,2,Cl,-1
RbMnF3,43722,Rb,1,Mn,2,Mn,2,F,-1
RbPbF3,49591,Rb,1,Pb,2,Pb,2,F,-1
RbUO3,99548,Rb,1,U,5,U,5,O,-2
RbVF3,28146,Rb,1,V,2,V,2,F,-1
RbYbBr3,72341,Rb,1,Yb,2,Yb,2,Br,-1
RbYbF3,49590,Rb,1,Yb,2,Yb,2,F,-1
RbZnF3,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Zn,2,Zn,2,F,-1
ScAlO3,34278,Sc,3,Al,3,Al,3,O,-2
ScCrO3,85141,Sc,3,Cr,3,Cr,3,O,-2
SmAlO3,10334,Sm,3,Al,3,Al,3,O,-2
SmCoO3,28924,Sm,3,Co,3,Co,3,O,-2
SmCrO3,237360,Sm,3,Cr,3,Cr,3,O,-2
SmFeO3,27276,Sm,3,Fe,3,Fe,3,O,-2
SmInO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Sm,3,In,3,In,3,O,-2
SmMnO3,95491,Sm,3,Mn,3,Mn,3,O,-2
SmNiO3,69789,Sm,3,Ni,3,Ni,3,O,-2
SmRhO3,172350,Sm,3,Rh,3,Rh,3,O,-2
SmScO3,99541,Sm,3,Sc,3,Sc,3,O,-2
SmScS3,650844,Sm,3,Sc,3,Sc,3,S,-2
SmTaO3,27118,Sm,2,Ta,4,Ta,4,O,-2
SmTiO3,51180,Sm,2,Ti,4,Ti,4,O,-2
SmVO3,187200,Sm,3,V,3,V,3,O,-2
SrCeO3,71352,Sr,2,Ce,4,Ce,4,O,-2
SrCoO3,77142,Sr,2,Co,4,Co,4,O,-2
SrCrO3,108903,Sr,2,Cr,4,Cr,4,O,-2
SrFeO3,184861,Sr,2,Fe,4,Fe,4,O,-2
SrHfO3,89385,Sr,2,Hf,4,Hf,4,O,-2
SrMoO3,174205,Sr,2,Mo,4,Mo,4,O,-2
SrNbO3,42004,Sr,2,Nb,4,Nb,4,O,-2
SrOsO3,237731,Sr,2,Os,4,Os,4,O,-2
SrPbO3,4121,Sr,2,Pb,4,Pb,4,O,-2
SrPrO3,84882,Sr,2,Pr,4,Pr,4,O,-2
SrRuO3,154894,Sr,2,Ru,4,Ru,4,O,-2
SrSnO3,97432,Sr,2,Sn,4,Sn,4,O,-2
SrTbO3,86734,Sr,2,Tb,4,Tb,4,O,-2
SrTcO3,183450,Sr,2,Tc,4,Tc,4,O,-2
SrThO3,"Galasso, F. S. ,Structure and properties of inorganic solids (1970)",Sr,2,Th,4,Th,4,O,-2
SrTiO3,290619,Sr,2,Ti,4,Ti,4,O,-2
SrZrO3,173398,Sr,2,Zr,4,Zr,4,O,-2
TaThN3,77661,Th,4,Ta,5,Ta,5,N,-3
TbAlO3,84422,Tb,3,Al,3,Al,3,O,-2
TbCoO3,23657,Tb,3,Co,3,Co,3,O,-2
TbCrO3,251101,Tb,3,Cr,3,Cr,3,O,-2
TbFeO3,22311,Tb,3,Fe,3,Fe,3,O,-2
TbMnO3,15720,Tb,3,Mn,3,Mn,3,O,-2
TbRhO3,172352,Tb,3,Rh,3,Rh,3,O,-2
TbScO3,99544,Tb,3,Sc,3,Sc,3,O,-2
TbScS3,650846,Tb,3,Sc,3,Sc,3,S,-2
TbVO3,155481,Tb,3,V,3,V,3,O,-2
TlCdCl3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cd,2,Cd,2,Cl,-1
TlCdF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cd,2,Cd,2,F,-1
TlCrF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Cr,2,Cr,2,F,-1
TlCrO3,238834,Tl,3,Cr,3,Cr,3,O,-2
TlCuF3,43457,Tl,1,Cu,2,Cu,2,F,-1
TlFeF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Fe,2,Fe,2,F,-1
TlIO3,"J Alloy and Compounds, 372, 40-48 (2008)",Tl,1,I,5,I,5,O,-2
TlMnCl3,23167,Tl,1,Mn,2,Mn,2,Cl,-1
TlMnF3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Mn,2,Mn,2,F,-1
TlMnI3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Mn,2,Mn,2,I,-1
TlNiO3,95948,Tl,3,Ni,3,Ni,3,O,-2
TlPbI3,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Pb,2,Pb,2,I,-1
TmAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Tm,3,Al,3,Al,3,O,-2
TmCoO3,172050,Tm,3,Co,3,Co,3,O,-2
TmCrO3,247738,Tm,3,Cr,3,Cr,3,O,-2
TmFeO3,25658,Tm,3,Fe,3,Fe,3,O,-2
TmMnO3,162209,Tm,3,Mn,3,Mn,3,O,-2
TmNiO3,189295,Tm,3,Ni,3,Ni,3,O,-2
TmVO3,185839,Tm,3,V,3,V,3,O,-2
UCoS3,624881,U,3,Co,3,Co,3,S,-2
UNiS3,646401,U,4,Ni,2,Ni,2,S,-2
UVS3,651346,U,3,V,3,V,3,S,-2
YAlO3,4115,Y,3,Al,3,Al,3,O,-2
YbAlO3,"J Alloy and Compounds, 372, 40-48 (2008)",Yb,3,Al,3,Al,3,O,-2
YbCoO3,172051,Yb,3,Co,3,Co,3,O,-2
YbCrO3,251105,Yb,3,Cr,3,Cr,3,O,-2
YbFeO3,27284,Yb,3,Fe,3,Fe,3,O,-2
YbMnO3,171759,Yb,3,Mn,3,Mn,3,O,-2
YbNiO3,189297,Yb,3,Ni,3,Ni,3,O,-2
YbVO3,97783,Yb,3,V,3,V,3,O,-2
YCoO3,155834,Y,3,Co,3,Co,3,O,-2
YCrO3,109352,Y,3,Cr,3,Cr,3,O,-2
YFeO3,80865,Y,3,Fe,3,Fe,3,O,-2
YMnO3,56617,Y,3,Mn,3,Mn,3,O,-2
YNiO3,191794,Y,3,Ni,3,Ni,3,O,-2
YScO3,237285,Y,3,Sc,3,Sc,3,O,-2
YScS3,23422,Y,3,Sc,3,Sc,3,S,-2
YTiO3,20903,Y,3,Ti,3,Ti,3,O,-2
YVO3,95577,Y,3,V,3,V,3,O,-2
ZnPbO3,196158,Zn,2,Pb,4,Pb,4,O,-2
Ag3AlF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Al,3,F,-1
Ag3CoF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Co,3,F,-1
Ag3CrF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Cr,3,F,-1
Ag3FeF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Fe,3,F,-1
Ag3GaF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,Ga,3,F,-1
Ag3InF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,In,3,F,-1
Ag3VF6,"Mat. Sci. Eng. 24, 81-151 (1998)",Ag,1,Ag,1,V,3,F,-1
Ba2AlNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Al,3,Nb,5,O,-2
Ba2AlTaO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Al,3,Ta,5,O,-2
Ba2BeUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Be,2,U,6,O,-2
Ba2BiIrO6,174291,Ba,2,Bi,3,Ir,5,O,-2
Ba2BiNbO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Bi,3,Nb,5,O,-2
Ba2BiSbO6,50040,Ba,2,Bi,3,Sb,5,O,-2
Ba2BiTaO6,153122,Ba,2,Bi,3,Ta,5,O,-2
Ba2BiVO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Bi,3,V,5,O,-2
Ba2CaMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Mo,6,O,-2
Ba2CaNpO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Np,6,O,-2
Ba2CaOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Os,6,O,-2
Ba2CaPuO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Pu,6,O,-2
Ba2CaReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Re,6,O,-2
Ba2CaTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ca,2,Te,6,O,-2
Ba2CaUO6,246110,Ba,2,Ca,2,U,6,O,-2
Ba2CaWO6,171985,Ba,2,Ca,2,W,6,O,-2
Ba2CdMoO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Mo,6,O,-2
Ba2CdOsO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Os,6,O,-2
Ba2CdReO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Re,6,O,-2
Ba2CdTeO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,Te,6,O,-2
Ba2CdUO6,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Cd,2,U,6,O,-2
