Database S1.2 ,,,,,,,,,,
Known non-perovskites,,,,,,,,,,
Compound,Structure,Source (ICSD ID or Reference),A,,B,,B’,,X,
,,,Ion,Oxidation state,Ion,Oxidation state,Ion,Oxidation state,Ion,Oxidation state
KYbP2O7,ABB’2X7,240717,Yb,3,K,1,P,5,O,-2
KYP2O7,ABB’2X7,75171,Y,3,K,1,P,5,O,-2
La2Be2GeO7,A2B2B’X7,39117,La,3,Be,2,Ge,4,Ge,-2
La2Ca2MnO7,A2B2B’X7,97454,La,3,Ca,2,Mn,4,Mn,-2
La2KNbO6,A2BB’X6 – other,160450,La,3,K,1,Nb,5,O,-2
LaBO3,Aragonite,35535,La,3,B,3,B,3,O,-2
Li2BeF4,A2BX4 – other,14360,Li,1,Be,2,Be,2,F,-1
Li2MoTeO6,A2BB’X6 – other,250677,Li,1,Te,4,Mo,6,O,-2
Li2SnTeO6,A2BB’X6 – other,40256,Li,1,Sn,4,Te,6,O,-2
Li2WTeO6,A2BB’X6 – other,250678,Li,1,Te,4,W,6,O,-2
Li2ZnBr4,Olivine,73223,Li,1,Zn,2,Zn,2,Br,-1
Li2ZnCl4,Spinel,202743,Li,1,Zn,2,Zn,2,Cl,-1
Li2ZnI4,Olivine,69032,Li,1,Zn,2,Zn,2,I,-1
Li2ZrTeO6,A2BB’X6 – other,71488,Li,1,Zr,4,Te,6,O,-2
LiAlAs2O7,ABB’2X7,161498,Al,3,Li,1,As,5,O,-2
LiAsO3,Ilmenite,202862,Li,1,As,5,As,5,O,-2
LiBaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ba,2,Ba,2,Br,-1
LiBaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ba,2,Ba,2,Cl,-1
LiBeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Be,2,Be,2,Cl,-1
LiBiO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Li,1,Bi,5,Bi,5,O,-2
LiCaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ca,2,Ca,2,Br,-1
LiCaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ca,2,Ca,2,Cl,-1
LiCaF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ca,2,Ca,2,F,-1
LiCoBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Co,2,Co,2,Br,-1
LiCrCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Cr,2,Cr,2,Cl,-1
LiCrP2O7,ABB’2X7,240965,Cr,3,Li,1,P,5,O,-2
LiDy2Br5,AB2X5,402192,Li,1,Dy,2,Dy,2,Br,-1
LiDy2Cl5,AB2X5,35763,Li,1,Dy,2,Dy,2,Cl,-1
LiFeAs2O7,ABB’2X7,75180,Fe,3,Li,1,As,5,O,-2
LiFeP2O7,ABB’2X7,69197,Fe,3,Li,1,P,5,O,-2
LiGaAs2O7,ABB’2X7,161500,Ga,3,Li,1,As,5,O,-2
LiInP2O7,ABB’2X7,60935,In,3,Li,1,P,5,O,-2
LiKTmF5,ABB’X5,428536,Li,1,K,1,Tm,3,F,-1
LiKYF5,ABB’X5,39668,Li,1,K,1,Y,3,F,-1
LiMgBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mg,2,Mg,2,Br,-1
LiMgCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mg,2,Mg,2,Cl,-1
LiMgF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mg,2,Mg,2,F,-1
LiMgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mg,2,Mg,2,I,-1
LiMnF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mn,2,Mn,2,F,-1
LiMnI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Mn,2,Mn,2,I,-1
LiMnP2O7,ABB’2X7,415153,Mn,3,Li,1,P,5,O,-2
LiMoP2O7,ABB’2X7,68522,Mo,3,Li,1,P,5,O,-2
LiNiCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Ni,2,Ni,2,Cl,-1
LiNO3,Calcite,33661,Li,1,N,5,N,5,O,-2
LiPbBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Pb,2,Pb,2,Br,-1
LiPbCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Pb,2,Pb,2,Cl,-1
LiPbF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Pb,2,Pb,2,F,-1
LiPO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Li,1,P,5,P,5,O,-2
LiSbO3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Sb,5,Sb,5,O,-2
LiScAs2O7,ABB’2X7,161499,Sc,3,Li,1,As,5,O,-2
LiScP2O7,ABB’2X7,91496,Sc,3,Li,1,P,5,O,-2
LiSrBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Sr,2,Sr,2,Br,-1
LiTiP2O7,ABB’2X7,166164,Ti,3,Li,1,P,5,O,-2
LiTm2Cl5,AB2X5,201996,Li,1,Tm,2,Tm,2,Cl,-1
LiVCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,V,2,V,2,Cl,-1
LiVO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Li,1,V,5,V,5,O,-2
LiVP2O7,ABB’2X7,80551,V,3,Li,1,P,5,O,-2
LiVPO6,A2BB’X6 – other,73868,Li,1,V,5,P,5,O,-2
LiYb2Cl5,AB2X5,87594,Li,1,Yb,2,Yb,2,Cl,-1
LiZnF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Li,1,Zn,2,Zn,2,F,-1
Lu2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Lu,3,Cu,2,Ti,4,O,-2
Lu2MnTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Lu,3,Mn,2,Ti,4,O,-2
LuBO3,Calcite,16525,Lu,3,B,3,B,3,O,-2
Mg2BiAsO6,A2BB’X6 – other,73895,Mg,2,Bi,3,As,5,O,-2
Mg2BiPO6,A2BB’X6 – other,73894,Mg,2,Bi,3,P,5,O,-2
Mg2GeO4,Spinel,1086,Mg,2,Ge,4,Ge,4,O,-2
Mg2GeS4,Olivine,23525,Mg,2,Ge,4,Ge,4,S,-2
Mg2GeSe4,Olivine,252050,Mg,2,Ge,4,Ge,4,Se,-2
Mg2Mo3O8,A2B3X8,82362,Mg,2,Mo,4,Mo,4,O,-2
Mg2SiS4,Olivine,642791,Mg,2,Si,4,Si,4,S,-2
Mg2SiSe4,Olivine,642818,Mg,2,Si,4,Si,4,Se,-2
Mg2SnS4,Olivine,642793,Mg,2,Sn,4,Sn,4,S,-2
Mg2SnSe4,Olivine,642819,Mg,2,Sn,4,Sn,4,Se,-2
MgAlPO5,ABB’X5,74773,Mg,2,Al,3,P,5,O,-2
MgCO3,Calcite,10264,Mg,2,C,4,C,4,O,-2
MgSe2O5,AB2X5,402917,Mg,2,Se,4,Se,4,O,-2
MgSiO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Mg,2,SI,4,SI,4,O,-2
MgSnO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Mg,2,Sn,4,Sn,4,O,-2
MgTe2O5,AB2X5,4318,Mg,2,Te,4,Te,4,O,-2
MgTiO3,Ilmenite,65794,Mg,2,Ti,4,Ti,4,O,-2
MgV2O5,AB2X5,86102,Mg,2,V,4,V,4,O,-2
Mn2FeWO6,A2BB’X6 – other,429619,Mn,2,Fe,2,W,6,O,-2
Mn2GeS4,Olivine,23582,Mn,2,Ge,4,Ge,4,S,-2
Mn2Mo3O8,A2B3X8,10144,Mn,2,Mo,4,Mo,4,O,-2
Mn2SiO4,Olivine,26376,Mn,2,Si,4,Si,4,O,-2
Mn2SiS4,Olivine,24141,Mn,2,Si,4,Si,4,S,-2
Mn2SiSe4,Olivine,80957,Mn,2,Si,4,Si,4,Se,-2
Mn2SnSe4,Olivine,643596,Mn,2,Sn,4,Sn,4,Se,-2
Mn2SnTe4,Olivine,169812,Mn,2,Sn,4,Sn,4,Te,-2
MnCO3,Calcite,80867,Mn,2,C,4,C,4,O,-2
MnGeO3,Ilmenite,40333,Mn,2,Ge,4,Ge,4,O,-2
MnSe2O5,AB2X5,27518,Mn,2,Se,4,Se,4,O,-2
MnSnO3,Ilmenite,29203,Mn,2,Sn,4,Sn,4,O,-2
MnTe2O5,AB2X5,15844,Mn,2,Te,4,Te,4,O,-2
MnTeV2O7,ABB’2X7,59328,Mn,2,Te,4,V,4,O,-2
Na2BeF4,Olivine,12101,Na,1,Be,2,Be,2,F,-1
Na2CoCl4,Olivine,813,Na,1,Co,2,Co,2,Cl,-1
Na2CrCl4,A2BX4 – other,66201,Na,1,Cr,2,Cr,2,Cl,-1
Na2GeTeO6,A2BB’X6 – other,88789,Na,1,Ge,4,Te,6,O,-2
Na2NbAsO6,A2BB’X6 – other,280157,Na,1,Nb,5,As,5,O,-2
Na2SeMoO6,A2BB’X6 – other,412998,Na,1,Se,4,Mo,6,O,-2
Na2Ti3Cl8,A2B3X8,401026,Na,1,Ti,2,Ti,2,Cl,-1
Na2USiO6,A2BB’X6 – other,24975,Na,1,U,6,Si,4,O,-2
Na2ZnBr4,Olivine,73224,Na,1,Zn,2,Zn,2,Br,-1
Na2ZnCl4,Olivine,814,Na,1,Zn,2,Zn,2,Cl,-1
NaAlAs2O7,ABB’2X7,75142,Al,3,Na,1,As,5,O,-2
NaAlP2O7,ABB’2X7,400462,Al,3,Na,1,P,5,O,-2
NaAsO3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,As,5,As,5,O,-2
NaBaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ba,2,Ba,2,Br,-1
NaBaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ba,2,Ba,2,Cl,-1
NaBaF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ba,2,Ba,2,F,-1
NaBeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Be,2,Be,2,Cl,-1
NaBiO3,Ilmenite,27553,Na,1,Bi,5,Bi,5,O,-2
NaCaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ca,2,Ca,2,Br,-1
NaCaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ca,2,Ca,2,Cl,-1
NaCaF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ca,2,Ca,2,F,-1
NaCaI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ca,2,Ca,2,I,-1
NaCdBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Cd,2,Cd,2,Br,-1
NaCdCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Cd,2,Cd,2,Cl,-1
NaCdF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Cd,2,Cd,2,F,-1
NaCdI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Cd,2,Cd,2,I,-1
NaCeP2O7,ABB’2X7,154075,Ce,3,Na,1,P,5,O,-2
NaCrP2O7,ABB’2X7,31291,Cr,3,Na,1,P,5,O,-2
NaEuP2O7,ABB’2X7,151525,Eu,3,Na,1,P,5,O,-2
NaFeK3Cl6,ABB’3X6,23182,Na,1,Fe,3,K,1,Cl,-1
NaFeP2O7,ABB’2X7,38367,Fe,3,Na,1,P,5,O,-2
NaHgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Hg,2,Hg,2,I,-1
NaHoP2O7,ABB’2X7,419049,Ho,3,Na,1,P,5,O,-2
NaInAs2O7,ABB’2X7,59304,In,3,Na,1,As,5,O,-2
NaInP2O7,ABB’2X7,240259,In,3,Na,1,P,5,O,-2
NaIrO3,Pyroxene,261371,Na,1,Ir,5,Ir,5,O,-2
NaLaP2O7,ABB’2X7,151526,La,3,Na,1,P,5,O,-2
NaLuP2O7,ABB’2X7,160189,Lu,3,Na,1,P,5,O,-2
NaMgBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Mg,2,Mg,2,Br,-1
NaMgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Mg,2,Mg,2,I,-1
NaMnCl3,Ilmenite,2552,Na,1,Mn,2,Mn,2,Cl,-1
NaMoP2O7,ABB’2X7,202644,Mo,3,Na,1,P,5,O,-2
NaNiCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Ni,2,Ni,2,Cl,-1
NaNO3,Calcite,14185,Na,1,N,5,N,5,O,-2
NaPbCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Pb,2,Pb,2,Cl,-1
NaPbF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Pb,2,Pb,2,F,-1
NaPO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Na,1,P,5,P,5,O,-2
NaScAs2O7,ABB’2X7,161501,Sc,3,Na,1,As,5,O,-2
NaScP2O7,ABB’2X7,260594,Sc,3,Na,1,P,5,O,-2
NaSrBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Sr,2,Sr,2,Br,-1
NaSrCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Na,1,Sr,2,Sr,2,Cl,-1
NaTiP2O7,ABB’2X7,202751,Ti,3,Na,1,P,5,O,-2
NaVP2O7,ABB’2X7,65696,V,3,Na,1,P,5,O,-2
NaYbP2O7,ABB’2X7,409801,Yb,3,Na,1,P,5,O,-2
NaYP2O7,ABB’2X7,83657,Y,3,Na,1,P,5,O,-2
Nd2Be2SiO7,A2B2B’X7,73520,Nd,3,Be,2,Si,4,Si,-2
Nd2KNbO6,A2BB’X6 – other,160451,Nd,3,K,1,Nb,5,O,-2
NdBO3,Aragonite,412407,Nd,3,B,3,B,3,O,-2
Ni2GeO4,Spinel,69508,Ni,2,Ge,4,Ge,4,O,-2
Ni2InSbO6,A2BB’X6 – other,237874,Ni,3,In,3,Sb,3,O,-2
Ni2NbBO6,A2BB’X6 – other,32583,Ni,2,Nb,5,B,3,O,-2
Ni2ScSbO6,A2BB’X6 – other,237878,Ni,3,Sc,3,Sb,3,O,-2
Ni2SiO4,Spinel,2136,Ni,2,Si,4,Si,4,O,-2
Ni2Te3O8,A2B3X8,50703,Ni,2,Te,4,Te,4,O,-2
NiBiAsO5,ABB’X5,92916,Ni,2,Bi,3,As,5,O,-2
NiCO3,Calcite,61064,Ni,2,C,4,C,4,O,-2
NiFePO5,ABB’X5,93581,Ni,2,Fe,3,P,5,O,-2
NiMnO3,Ilmenite,31853,Ni,2,Mn,4,Mn,4,O,-2
NiTiO3,Ilmenite,15988,Ni,2,Ti,4,Ti,4,O,-2
Pb2BiVO6,A2BB’X6 – other,151928,Pb,2,Bi,3,V,5,O,-2
Pb2HgCrO6,A2BB’X6 – other,280778,Pb,2,Hg,2,Cr,6,O,-2
Pb2Te3O8,A2B3X8,200372,Pb,2,Te,4,Te,4,O,-2
PbBAsO5,ABB’X5,404327,Pb,2,B,3,As,5,O,-2
PbBiAsO5,ABB’X5,419124,Pb,2,Bi,3,As,5,O,-2
PbBiPO5,ABB’X5,419125,Pb,2,Bi,3,P,5,O,-2
PbBPO5,ABB’X5,93598,Pb,2,B,3,P,5,O,-2
PbCO3,Aragonite,6178,Pb,2,C,4,C,4,O,-2
PbSe2O5,AB2X5,79688,Pb,2,Se,4,Se,4,O,-2
PbSiO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Pb,2,Si,4,Si,4,O,-2
PbTeCu3O7,ABB’X3X7,405329,Pb,2,Te,6,Cu,2,O,-2
PbU2S5,AB2X5,648493,Pb,2,U,4,U,4,S,-2
PbU2Se5,AB2X5,66862,Pb,2,U,4,U,4,Se,-2
PdSe2O5,AB2X5,417900,Pd,2,Se,4,Se,4,O,-2
PrBO3,Aragonite,421745,Pr,3,B,3,B,3,O,-2
RbAlAs2O7,ABB’2X7,72508,Al,3,Rb,1,As,5,O,-2
RbBaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Ba,2,Ba,2,Br,-1
RbBeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Be,2,Be,2,Cl,-1
RbBeF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Be,2,Be,2,F,-1
RbCoCl3,BaNiO3 – type,24305,Rb,1,Co,2,Co,2,Cl,-1
RbCrP2O7,ABB’2X7,710074,Cr,3,Rb,1,P,5,O,-2
RbCrV2O7,ABB’2X7,245134,Cr,3,Rb,1,V,5,O,-2
RbCuCl3,BaNiO3 – type,84212,Rb,1,Cu,2,Cu,2,Cl,-1
RbCuPdF5,ABB’X5,64662,Rb,1,Cu,2,Pd,2,F,-1
RbErP2O7,ABB’2X7,421379,Er,3,Rb,1,P,5,O,-2
RbEu2I5,AB2X5,41098,Rb,1,Eu,2,Eu,2,I,-1
RbEuCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Eu,2,Eu,2,Cl,-1
RbFeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Fe,2,Fe,2,Cl,-1
RbFeP2O7,ABB’2X7,72722,Fe,3,Rb,1,P,5,O,-2
RbInAs2O7,ABB’2X7,415930,In,3,Rb,1,As,5,O,-2
RbInP2O7,ABB’2X7,240261,In,3,Rb,1,P,5,O,-2
RbLaNb2O7,ABB’2X7,75456,La,3,Rb,1,Nb,5,O,-2
RbLaTa2O7,ABB’2X7,81870,La,3,Rb,1,Ta,5,O,-2
RbLuP2O7,ABB’2X7,160192,Lu,3,Rb,1,P,5,O,-2
RbMgCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Mg,2,Mg,2,Cl,-1
RbMgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Mg,2,Mg,2,I,-1
RbMnBr3,BaNiO3 – type,14077,Rb,1,Mn,2,Mn,2,Br,-1
RbMnI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Mn,2,Mn,2,I,-1
RbMnP2O7,ABB’2X7,247130,Mn,3,Rb,1,P,5,O,-2
RbMoP2O7,ABB’2X7,65673,Mo,3,Rb,1,P,5,O,-2
RbNbO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Rb,1,Nb,5,Nb,5,O,-2
RbNiBr3,BaNiO3 – type,15011,Rb,1,Ni,2,Ni,2,Br,-1
RbNiCl3,BaNiO3 – type,15010,Rb,1,Ni,2,Ni,2,Cl,-1
RbPb2Br5,AB2X5,26663,Rb,1,Pb,2,Pb,2,Br,-1
RbPrNb2O7,ABB’2X7,238794,Pr,3,Rb,1,Nb,5,O,-2
RbPuP2S7,ABB’2X7,94909,Pu,3,Rb,1,P,5,S,-2
RbScAs2O7,ABB’2X7,59821,Sc,3,Rb,1,As,5,O,-2
RbSeMoO6,A2BB’X6 – other,413000,Rb,1,Se,4,Mo,6,O,-2
RbSrCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Sr,2,Sr,2,Cl,-1
RbSrF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Sr,2,Sr,2,F,-1
RbTaO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Rb,1,TA,5,TA,5,O,-2
RbTiBr3,BaNiO3 – type,154257,Rb,1,Ti,2,Ti,2,Br,-1
RbTiCl3,BaNiO3 – type,49747,Rb,1,Ti,2,Ti,2,Cl,-1
RbTiP2O7,ABB’2X7,69848,Ti,3,Rb,1,P,5,O,-2
RbV3O8,AB3X8,50009,Rb,1,V,5,V,5,O,-2
RbVBr3,BaNiO3 – type,201831,Rb,1,V,2,V,2,Br,-1
RbVCl3,BaNiO3 – type,201828,Rb,1,V,2,V,2,Cl,-1
RbVP2S7,ABB’2X7,73782,V,3,Rb,1,P,5,O,-2
RbYP2O7,ABB’2X7,72468,Y,3,Rb,1,P,5,O,-2
RbZnCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Rb,1,Zn,2,Zn,2,Cl,-1
ScBO3,Calcite,65010,Sc,3,B,3,B,3,O,-2
SiTiSr2O7,ABB’2X7,83362,Sr,2,Si,4,Ti,4,O,-2
Sm2Be2GeO7,A2B2B’X7,39119,Sm,3,Be,2,Ge,4,Ge,-2
Sm2Ca2MnO7,A2B2B’X7,98364,Sm,3,Ca,2,Mn,4,Mn,-2
SmBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Sm,3,B,3,B,3,O,-2
SmSiO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Sm,2,Si,4,Si,4,O,-2
SmYO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Sm,3,Y,3,Y,3,O,-2
Sr2CeRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Sr,2,Ce,3,Ru,5,O,-2
Sr2CrMnO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Sr,2,Cr,4,Mn,4,O,-2
Sr2LaRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Sr,2,La,3,Ru,5,O,-2
Sr2LiReSe6,A2BB’X6 – other,246730,Sr,2,Li,1,Re,7,Se,-2
Sr2NdRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Sr,2,Nd,3,Ru,5,O,-2
Sr2PrRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Sr,2,Pr,3,Ru,5,O,-2
SrBPO5,ABB’X5,87894,Sr,2,B,3,P,5,O,-2
SrCO3,Aragonite,15195,Sr,2,C,4,C,4,O,-2
SrSe2O5,AB2X5,60993,Sr,2,Se,4,Se,4,O,-2
SrTh2Se5,AB2X5,85772,Sr,2,Th,4,Th,4,Se,-2
SrTiGeO5,ABB’X5,158144,Sr,2,Ti,4,Ge,4,O,-2
SrTiS3,BaNiO3 – type,651070,Sr,2,Ti,4,Ti,4,S,-2
SrU2S5,AB2X5,251553,Sr,2,U,4,U,4,S,-2
SrVSi2O7,ABB’2X7,30451,Sr,2,V,4,Si,4,O,-2
SrZrSi2O7,ABB’2X7,75272,Sr,2,Zr,4,Si,4,O,-2
Tb2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Tb,3,Cu,2,Ti,4,O,-2
TiBO3,Calcite,402039,Ti,3,B,3,B,3,O,-2
Tl2PNbO6,A2BB’X6 – other,72593,Tl,1,P,5,Nb,5,O,-2
Tl3FeCl5,A3BX5,10138,Tl,1,Fe,2,Fe,2,Cl,-1
TlBe2F5,AB2X5,2763,Tl,1,Be,2,Be,2,F,-1
TlBeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Be,2,Be,2,Cl,-1
TlBiP2S7,ABB’2X7,249460,Bi,3,Tl,1,P,5,S,-2
TlCeP2S7,ABB’2X7,195309,Ce,3,Tl,1,P,5,S,-2
TlCoCl3,BaNiO3 – type,155189,Tl,1,Co,2,Co,2,Cl,-1
TlCrP2O7,ABB’2X7,401129,Cr,3,Tl,1,P,5,O,-2
TlEuCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Eu,2,Eu,2,Cl,-1
TlInAs2O7,ABB’2X7,415929,In,3,Tl,1,As,5,O,-2
TlMgCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Mg,2,Mg,2,Cl,-1
TlPbCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Pb,2,Pb,2,Cl,-1
TlPrP2S7,ABB’2X7,195311,Pr,3,Tl,1,P,5,S,-2
TlSbO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Tl,1,Sb,5,Sb,5,O,-2
TlScP2S7,ABB’2X7,195312,Sc,3,Tl,1,P,5,S,-2
TlSrCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Sr,2,Sr,2,Cl,-1
TlTiPO5,ABB’X5,67427,Ti,2,Tl,3,P,5,O,-2
TlV3O8,AB3X8,20688,Tl,1,V,5,V,5,O,-2
TlZnCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Tl,1,Zn,2,Zn,2,Cl,-1
Tm2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Tm,3,Cu,2,Ti,4,O,-2
TmBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Tm,3,B,3,B,3,O,-2
VAlO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",V,3,Al,3,Al,3,O,-2
VBO3,Calcite,45060,V,3,B,3,B,3,O,-2
VCrO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",V,3,Cr,3,Cr,3,O,-2
Y2Be2GeO7,A2B2B’X7,39122,Y,3,Be,2,Ge,4,Ge,-2
Y2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Y,3,Cu,2,Ti,4,O,-2
Y2SiBe2O7,A2B2B’X7,23233,Y,3,Si,4,Be,2,Be,-2
Yb2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Yb,3,Cu,2,Ti,4,O,-2
Yb2MnTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Yb,3,Mn,2,Ti,4,O,-2
Yb2PrDyS6,A2BB’X6 – other,245723,Yb,3,Pr,3,Dy,3,S,-2
Yb2PrTbS6,A2BB’X6 – other,245722,Yb,3,Pr,3,Tb,3,S,-2
YbBO3,Calcite,411805,Yb,3,B,3,B,3,O,-2
YBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Y,3,B,3,B,3,O,-2
Zn2BiPO6,A2BB’X6 – other,91234,Zn,2,Bi,3,P,5,O,-2
Zn2BiVO6,A2BB’X6 – other,193538,Zn,2,Bi,3,V,5,O,-2
Zn2Mo3O8,A2B3X8,14321,Zn,2,Mo,4,Mo,4,O,-2
Zn2PdO4,Spinel,30076,Zn,2,Pd,4,Pd,4,O,-2
Zn2Te3O8,A2B3X8,16784,Zn,2,Te,4,Te,4,O,-2
ZnCO3,Calcite,100679,Zn,2,C,4,C,4,O,-2
ZnGeO3,Ilmenite,33722,Zn,2,Ge,4,Ge,4,O,-2
ZnMn3O7,AB3X7,192706,Zn,2,Mn,4,Mn,4,O,-2
ZnSe2O5,AB2X5,2355,Zn,2,Se,4,Se,4,O,-2
ZnSiO3,Ilmenite,167186,Zn,2,Si,4,Si,4,O,-2
ZnVSe2O7,ABB’2X7,249713,Zn,2,V,4,Se,4,O,-2
